09/22/18 19:47:49 - Criando quadras do arquivo ./temp/tmp/35503081500_face.shp
ID: 26656923. Nao foi possivel criar a face.
ID: 26656923. Nao foi possivel criar a face.
ID: 26658592. Nao foi possivel criar a face.
ID: 26658592. Nao foi possivel criar a face.
ID: 26658592. Nao foi possivel criar a face.
ID: 26658592. Nao foi possivel criar a face.
ID: 26658592. Nao foi possivel criar a face.
ID: 26658592. Nao foi possivel criar a face.
ID: 26658592. Nao foi possivel criar a face.
ID: 26658592. Nao foi possivel criar a face.
ID: 26658592. Nao foi possivel criar a face.
ID: 26658010. Nao foi possivel criar a face.
ID: 26658010. Nao foi possivel criar a face.
ID: 26658302. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26657417. Nao foi possivel criar a face.
ID: 26658610. Nao foi possivel criar a face.
ID: 26658610. Nao foi possivel criar a face.
ID: 26658904. Nao foi possivel criar a face.
ID: 26658904. Nao foi possivel criar a face.
ID: 26658904. Nao foi possivel criar a face.
ID: 26658904. Nao foi possivel criar a face.
ID: 26658904. Nao foi possivel criar a face.
ID: 26658904. Nao foi possivel criar a face.
ID: 26658904. Nao foi possivel criar a face.
ID: 26658904. Nao foi possivel criar a face.
ID: 26658615. Nao foi possivel criar a face.
ID: 26658615. Nao foi possivel criar a face.
ID: 26658615. Nao foi possivel criar a face.
ID: 26658017. Nao foi possivel criar a face.
ID: 26658017. Nao foi possivel criar a face.
ID: 26658020. Nao foi possivel criar a face.
ID: 26658020. Nao foi possivel criar a face.
ID: 26658020. Nao foi possivel criar a face.
ID: 26657420. Nao foi possivel criar a face.
ID: 26657422. Nao foi possivel criar a face.
ID: 26657422. Nao foi possivel criar a face.
ID: 26657422. Nao foi possivel criar a face.
ID: 26657422. Nao foi possivel criar a face.
ID: 26657422. Nao foi possivel criar a face.
ID: 26657422. Nao foi possivel criar a face.
ID: 26657422. Nao foi possivel criar a face.
ID: 26657422. Nao foi possivel criar a face.
ID: 26658028. Nao foi possivel criar a face.
ID: 26658321. Nao foi possivel criar a face.
ID: 26658321. Nao foi possivel criar a face.
ID: 26657436. Nao foi possivel criar a face.
ID: 26657436. Nao foi possivel criar a face.
ID: 26657732. Nao foi possivel criar a face.
ID: 26657732. Nao foi possivel criar a face.
ID: 26657732. Nao foi possivel criar a face.
ID: 26657437. Nao foi possivel criar a face.
ID: 26658337. Nao foi possivel criar a face.
ID: 26658337. Nao foi possivel criar a face.
ID: 26658337. Nao foi possivel criar a face.
ID: 26658337. Nao foi possivel criar a face.
ID: 26658337. Nao foi possivel criar a face.
ID: 26658337. Nao foi possivel criar a face.
ID: 26658337. Nao foi possivel criar a face.
ID: 26658337. Nao foi possivel criar a face.
ID: 26658337. Nao foi possivel criar a face.
ID: 26657438. Nao foi possivel criar a face.
ID: 26657438. Nao foi possivel criar a face.
ID: 26657438. Nao foi possivel criar a face.
ID: 26657438. Nao foi possivel criar a face.
ID: 26657438. Nao foi possivel criar a face.
ID: 26657438. Nao foi possivel criar a face.
ID: 26658647. Nao foi possivel criar a face.
ID: 26658647. Nao foi possivel criar a face.
ID: 26658650. Nao foi possivel criar a face.
ID: 26658943. Nao foi possivel criar a face.
ID: 26658943. Nao foi possivel criar a face.
ID: 26658943. Nao foi possivel criar a face.
ID: 26658943. Nao foi possivel criar a face.
ID: 26658948. Nao foi possivel criar a face.
ID: 26658948. Nao foi possivel criar a face.
ID: 26658948. Nao foi possivel criar a face.
ID: 26658948. Nao foi possivel criar a face.
ID: 26658341. Nao foi possivel criar a face.
ID: 26658341. Nao foi possivel criar a face.
ID: 26657751. Nao foi possivel criar a face.
ID: 26657751. Nao foi possivel criar a face.
ID: 26657760. Nao foi possivel criar a face.
ID: 26657468. Nao foi possivel criar a face.
ID: 26657468. Nao foi possivel criar a face.
ID: 26657468. Nao foi possivel criar a face.
ID: 26658653. Nao foi possivel criar a face.
ID: 26658653. Nao foi possivel criar a face.
ID: 26658653. Nao foi possivel criar a face.
ID: 26658661. Nao foi possivel criar a face.
ID: 26658661. Nao foi possivel criar a face.
ID: 26658661. Nao foi possivel criar a face.
ID: 26658661. Nao foi possivel criar a face.
ID: 26658661. Nao foi possivel criar a face.
ID: 26658661. Nao foi possivel criar a face.
ID: 26658661. Nao foi possivel criar a face.
ID: 26658661. Nao foi possivel criar a face.
ID: 26658661. Nao foi possivel criar a face.
ID: 26658068. Nao foi possivel criar a face.
ID: 26658068. Nao foi possivel criar a face.
ID: 26658068. Nao foi possivel criar a face.
ID: 26658068. Nao foi possivel criar a face.
ID: 26658068. Nao foi possivel criar a face.
ID: 26658068. Nao foi possivel criar a face.
ID: 26658068. Nao foi possivel criar a face.
ID: 26658068. Nao foi possivel criar a face.
ID: 26658666. Nao foi possivel criar a face.
ID: 26658666. Nao foi possivel criar a face.
ID: 26658669. Nao foi possivel criar a face.
ID: 26658967. Nao foi possivel criar a face.
ID: 26658967. Nao foi possivel criar a face.
ID: 26658967. Nao foi possivel criar a face.
ID: 26658967. Nao foi possivel criar a face.
ID: 26658967. Nao foi possivel criar a face.
ID: 26658967. Nao foi possivel criar a face.
ID: 26658967. Nao foi possivel criar a face.
ID: 26658967. Nao foi possivel criar a face.
ID: 26658371. Nao foi possivel criar a face.
ID: 26658371. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26657780. Nao foi possivel criar a face.
ID: 26658681. Nao foi possivel criar a face.
ID: 26658681. Nao foi possivel criar a face.
ID: 26658681. Nao foi possivel criar a face.
ID: 26658681. Nao foi possivel criar a face.
ID: 26658681. Nao foi possivel criar a face.
ID: 26658681. Nao foi possivel criar a face.
ID: 26658681. Nao foi possivel criar a face.
ID: 26658681. Nao foi possivel criar a face.
ID: 26658681. Nao foi possivel criar a face.
ID: 26658681. Nao foi possivel criar a face.
ID: 26657792. Nao foi possivel criar a face.
ID: 26657792. Nao foi possivel criar a face.
ID: 26657792. Nao foi possivel criar a face.
ID: 26657792. Nao foi possivel criar a face.
ID: 26657792. Nao foi possivel criar a face.
ID: 26658985. Nao foi possivel criar a face.
ID: 26658985. Nao foi possivel criar a face.
ID: 26658985. Nao foi possivel criar a face.
ID: 26658985. Nao foi possivel criar a face.
ID: 26658985. Nao foi possivel criar a face.
ID: 26658985. Nao foi possivel criar a face.
ID: 26658985. Nao foi possivel criar a face.
ID: 26658985. Nao foi possivel criar a face.
ID: 26658396. Nao foi possivel criar a face.
ID: 26658396. Nao foi possivel criar a face.
ID: 26658699. Nao foi possivel criar a face.
ID: 26658699. Nao foi possivel criar a face.
ID: 26658699. Nao foi possivel criar a face.
ID: 26658699. Nao foi possivel criar a face.
ID: 26658699. Nao foi possivel criar a face.
ID: 26659007. Nao foi possivel criar a face.
ID: 26659007. Nao foi possivel criar a face.
ID: 26659007. Nao foi possivel criar a face.
ID: 26659007. Nao foi possivel criar a face.
ID: 26659007. Nao foi possivel criar a face.
ID: 26658415. Nao foi possivel criar a face.
ID: 26658415. Nao foi possivel criar a face.
ID: 26658415. Nao foi possivel criar a face.
ID: 26658415. Nao foi possivel criar a face.
ID: 26658723. Nao foi possivel criar a face.
ID: 26658723. Nao foi possivel criar a face.
ID: 26658723. Nao foi possivel criar a face.
ID: 26657062. Nao foi possivel criar a face.
ID: 26657072. Nao foi possivel criar a face.
ID: 26657072. Nao foi possivel criar a face.
ID: 26657072. Nao foi possivel criar a face.
ID: 26657072. Nao foi possivel criar a face.
ID: 26657072. Nao foi possivel criar a face.
ID: 26657072. Nao foi possivel criar a face.
ID: 26659038. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657365. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657386. Nao foi possivel criar a face.
ID: 26657101. Nao foi possivel criar a face.
ID: 26657101. Nao foi possivel criar a face.
ID: 26657101. Nao foi possivel criar a face.
ID: 26657101. Nao foi possivel criar a face.
ID: 26657101. Nao foi possivel criar a face.
ID: 26657101. Nao foi possivel criar a face.
ID: 26657101. Nao foi possivel criar a face.
ID: 26657101. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658296. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658839. Nao foi possivel criar a face.
ID: 26658112. Nao foi possivel criar a face.
ID: 26658112. Nao foi possivel criar a face.
ID: 26658112. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26657822. Nao foi possivel criar a face.
ID: 26659152. Nao foi possivel criar a face.
ID: 26659152. Nao foi possivel criar a face.
ID: 26659152. Nao foi possivel criar a face.
ID: 26659152. Nao foi possivel criar a face.
ID: 26659152. Nao foi possivel criar a face.
ID: 26659152. Nao foi possivel criar a face.
ID: 26659152. Nao foi possivel criar a face.
ID: 26659152. Nao foi possivel criar a face.
ID: 26658550. Nao foi possivel criar a face.
ID: 26658848. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26658131. Nao foi possivel criar a face.
ID: 26657551. Nao foi possivel criar a face.
ID: 26657551. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26657840. Nao foi possivel criar a face.
ID: 26659162. Nao foi possivel criar a face.
ID: 26659164. Nao foi possivel criar a face.
ID: 26658733. Nao foi possivel criar a face.
ID: 26658733. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26658446. Nao foi possivel criar a face.
ID: 26657561. Nao foi possivel criar a face.
ID: 26657561. Nao foi possivel criar a face.
ID: 26657561. Nao foi possivel criar a face.
ID: 26657561. Nao foi possivel criar a face.
ID: 26657561. Nao foi possivel criar a face.
ID: 26657561. Nao foi possivel criar a face.
ID: 26657561. Nao foi possivel criar a face.
ID: 26657561. Nao foi possivel criar a face.
ID: 26657909. Nao foi possivel criar a face.
ID: 26657909. Nao foi possivel criar a face.
